task_name,category,difficulty,tags,agent_timeout_sec,verifier_timeout_sec,build_timeout_sec,docker_image,visible_environment_files,capability_classes,required_tool_hints,verifier_capability_needs,readiness,notes
polyglot-rust-c,software-engineering,hard,coding;no-verified-solution,900.0,900.0,600.0,alexgshaw/polyglot-rust-c:20251031,1,long_running_command;rust_build,bash;make;cmake;gcc;g++;cargo;python;python3;rustc,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
portfolio-optimization,optimization,medium,c-programming;python-extension;optimization,3600.0,3600.0,600.0,alexgshaw/portfolio-optimization:20251031,7,background_service;compiler_build;long_running_command,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,build_log_handles;log_tail_handles;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
protein-assembly,scientific-computing,hard,biology;cloning;proteins,1800.0,1800.0,600.0,alexgshaw/protein-assembly:20251031,5,compiler_build;image_processing;long_running_command;scientific_computing,make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo;R;Rscript;julia;octave,artifact_preview;build_log_handles;image_metadata;log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
prove-plus-comm,software-engineering,easy,coding,900.0,900.0,600.0,alexgshaw/prove-plus-comm:20251031,2,compiler_build;long_running_command;ocaml_coq_build,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;ocaml;opam;dune;coqtop;coqc,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
pypi-server,software-engineering,medium,coding;system,900.0,900.0,600.0,alexgshaw/pypi-server:20251031,1,background_service;compiler_build;http_service;long_running_command;network_download,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;nginx;bash;cargo;python;python3;git;pip;uv,build_log_handles;http_probe;log_tail_handles;network_fact_probe;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
pytorch-model-cli,model-training,medium,coding;C;pytorch,900.0,900.0,600.0,alexgshaw/pytorch-model-cli:20251031,8,binary_reverse_engineering;compiler_build;image_processing;long_running_command;ml_training_or_inference,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo;pip;uv;R;Rscript,artifact_preview;binary_artifact_probe;build_log_handles;image_metadata;log_tail_handles;metric_artifact_inspection;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
pytorch-model-recovery,model-training,medium,coding;pytorch;machine-learning,900.0,900.0,600.0,alexgshaw/pytorch-model-recovery:20251031,3,long_running_command;ml_training_or_inference,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript,log_tail_handles;metric_artifact_inspection;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
qemu-alpine-ssh,system-administration,medium,sys-admin,900.0,900.0,600.0,alexgshaw/qemu-alpine-ssh:20251031,1,background_service;http_service;image_processing;long_running_command;qemu_vm;ssh_or_telnet_service,curl;wget;ss;netstat;lsof;nginx;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo;qemu-system-i386;qemu-system-x86_64;qemu-img;expect;ssh;sshd;telnet,artifact_preview;background_process_probe;http_probe;image_metadata;interactive_or_vnc_probe;interactive_probe;log_tail_handles;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
qemu-startup,system-administration,medium,sys-admin,900.0,900.0,600.0,alexgshaw/qemu-startup:20251031,1,background_service;image_processing;long_running_command;qemu_vm;ssh_or_telnet_service,curl;wget;ss;netstat;lsof;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo;qemu-system-i386;qemu-system-x86_64;qemu-img;expect;ssh;sshd;telnet,artifact_preview;background_process_probe;image_metadata;interactive_or_vnc_probe;interactive_probe;log_tail_handles;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
query-optimize,data-science,medium,query-optimization;sql-query,900.0,900.0,600.0,alexgshaw/query-optimize:20251031,2,compiler_build;database;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;sqlite3;psql;mysql;bash;cargo;python;python3,build_log_handles;database_file_or_service_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
raman-fitting,scientific-computing,medium,coding;fitting;analysis;physics,900.0,900.0,600.0,alexgshaw/raman-fitting:20251031,2,long_running_command;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;R;Rscript;julia;octave,log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
regex-chess,software-engineering,hard,software-engineering,3600.0,3600.0,600.0,alexgshaw/regex-chess:20251031,2,compiler_build;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
regex-log,data-processing,medium,regex;string-parsing;log-analysis,900.0,900.0,600.0,alexgshaw/regex-log:20251031,1,background_service;long_running_command;scientific_computing,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3;R;Rscript;julia;octave,log_tail_handles;numeric_output_check;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
reshard-c4-data,data-science,medium,coding;data-processing;file-operations,3600.0,3600.0,600.0,alexgshaw/reshard-c4-data:20251031,3,long_running_command;ml_training_or_inference;network_download,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git,log_tail_handles;metric_artifact_inspection;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
rstan-to-pystan,data-science,medium,pystan;rstan;gaussian-process,1800.0,1800.0,600.0,alexgshaw/rstan-to-pystan:20251031,6,compiler_build;long_running_command;ml_training_or_inference;network_download;scientific_computing,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git;julia;octave,build_log_handles;log_tail_handles;metric_artifact_inspection;network_fact_probe;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
sam-cell-seg,data-science,hard,image-processing;machine-learning;histopathology,7200.0,7200.0,600.0,alexgshaw/sam-cell-seg:20251031,3,background_service;http_service;image_processing;long_running_command;ml_training_or_inference;network_download;scientific_computing,curl;wget;ss;netstat;lsof;nginx;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo;pip;uv;R;Rscript;git;julia;octave,artifact_preview;http_probe;image_metadata;log_tail_handles;metric_artifact_inspection;network_fact_probe;numeric_output_check;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
sanitize-git-repo,security,medium,security;system;version-control,900.0,900.0,600.0,alexgshaw/sanitize-git-repo:20251031,2,binary_reverse_engineering;crypto_security;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;bash;make;cmake;gcc;g++;cargo,artifact_probe;binary_artifact_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
schemelike-metacircular-eval,software-engineering,medium,software-engineering,2400.0,2400.0,600.0,alexgshaw/schemelike-metacircular-eval:20251031,67,binary_reverse_engineering;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;bash;make;cmake;gcc;g++;cargo;python;python3,binary_artifact_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
sparql-university,data-querying,hard,knowledge-graph;sparql-query;information-retrieval,900.0,900.0,600.0,alexgshaw/sparql-university:20251031,2,long_running_command;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;R;Rscript;julia;octave,log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
sqlite-db-truncate,debugging,medium,file-operations,900.0,900.0,600.0,alexgshaw/sqlite-db-truncate:20251031,2,binary_reverse_engineering;database;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;sqlite3;psql;mysql;bash;make;cmake;gcc;g++;cargo;python;python3,binary_artifact_probe;database_file_or_service_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
sqlite-with-gcov,system-administration,medium,software-installation;system,900.0,900.0,600.0,alexgshaw/sqlite-with-gcov:20251031,3,compiler_build;database;long_running_command;network_download,make;cmake;gcc;g++;clang;clang++;pkg-config;sqlite3;psql;mysql;bash;cargo;python;python3;curl;wget;git;pip;uv,build_log_handles;database_file_or_service_probe;log_tail_handles;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
torch-pipeline-parallelism,software-engineering,hard,system,900.0,900.0,600.0,alexgshaw/torch-pipeline-parallelism:20251031,1,long_running_command;ml_training_or_inference;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;julia;octave,log_tail_handles;metric_artifact_inspection;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
torch-tensor-parallelism,software-engineering,hard,system,900.0,900.0,600.0,alexgshaw/torch-tensor-parallelism:20251031,1,binary_reverse_engineering;long_running_command;ml_training_or_inference;network_download,file;strings;readelf;objdump;gdb;xxd;hexdump;bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git,binary_artifact_probe;log_tail_handles;metric_artifact_inspection;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
train-fasttext,model-training,hard,data-processing;data-science,3600.0,3600.0,600.0,alexgshaw/train-fasttext:20251031,2,long_running_command;ml_training_or_inference,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript,log_tail_handles;metric_artifact_inspection;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
tune-mjcf,scientific-computing,medium,mujoco;physics;simulation;numerical-optimization,900.0,900.0,600.0,alexgshaw/tune-mjcf:20251031,3,long_running_command;ml_training_or_inference;network_download;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git;julia;octave,log_tail_handles;metric_artifact_inspection;network_fact_probe;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
video-processing,video-processing,hard,video-processing,3600.0,3600.0,600.0,alexgshaw/video-processing:20251031,2,background_service;long_running_command;ml_training_or_inference;scientific_computing;video_processing,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;julia;octave;ffmpeg;ffprobe,log_tail_handles;media_metadata;metric_artifact_inspection;numeric_output_check;process_probe;sample_video_frames;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
vulnerable-secret,security,medium,security;file-operations,900.0,900.0,600.0,alexgshaw/vulnerable-secret:20251031,2,binary_reverse_engineering;compiler_build;crypto_security;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;openssl;python;python3;john;hashcat;bash;cargo,artifact_probe;binary_artifact_probe;build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
winning-avg-corewars,software-engineering,medium,pmars;corewars;gaming,3600.0,3600.0,600.0,alexgshaw/winning-avg-corewars:20251031,6,binary_reverse_engineering;long_running_command;network_download,file;strings;readelf;objdump;gdb;xxd;hexdump;bash;make;cmake;gcc;g++;cargo;python;python3;curl;wget;git;pip;uv,binary_artifact_probe;log_tail_handles;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
write-compressor,software-engineering,hard,coding,900.0,900.0,600.0,alexgshaw/write-compressor:20251031,4,compiler_build;long_running_command;rust_build,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;rustc,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
